ticks,numWhites,numBlacks,numHerbivores,globalTemp,solarLuminosity
260,0,0,0,43.220555088849096,1.0
261,0,0,0,43.220555088849096,1.0
262,0,0,0,43.220555088849096,1.0
263,0,0,0,43.220555088849096,1.0
264,0,0,0,43.220555088849096,1.0
265,0,0,0,43.220555088849096,1.0
266,0,0,0,43.220555088849096,1.0
267,0,0,0,43.220555088849096,1.0
268,0,0,0,43.220555088849096,1.0
269,0,0,0,43.220555088849096,1.0
270,0,0,0,43.220555088849096,1.0
271,0,0,0,43.220555088849096,1.0
272,0,0,0,43.220555088849096,1.0
273,0,0,0,43.220555088849096,1.0
274,0,0,0,43.220555088849096,1.0
275,0,0,0,43.220555088849096,1.0
276,0,0,0,43.220555088849096,1.0
277,0,0,0,43.220555088849096,1.0
278,0,0,0,43.220555088849096,1.0
279,0,0,0,43.220555088849096,1.0
280,0,0,0,43.220555088849096,1.0
281,0,0,0,43.220555088849096,1.0
282,0,0,0,43.220555088849096,1.0
283,0,0,0,43.220555088849096,1.0
284,0,0,0,43.220555088849096,1.0
285,0,0,0,43.220555088849096,1.0
286,0,0,0,43.220555088849096,1.0
287,0,0,0,43.220555088849096,1.0
288,0,0,0,43.220555088849096,1.0
289,0,0,0,43.220555088849096,1.0
290,0,0,0,43.220555088849096,1.0
291,0,0,0,43.220555088849096,1.0
292,0,0,0,43.220555088849096,1.0
293,0,0,0,43.220555088849096,1.0
294,0,0,0,43.220555088849096,1.0
295,0,0,0,43.220555088849096,1.0
296,0,0,0,43.220555088849096,1.0
297,0,0,0,43.220555088849096,1.0
298,0,0,0,43.220555088849096,1.0
299,0,0,0,43.220555088849096,1.0
300,0,0,0,43.220555088849096,1.0
